Item                                                      , Quantity        , Cost (USD), Purchase Link
1N4148 Diodes                                             , 90 Pack         ,       1.52, https://stackskb.com/store/1n4148-through-hole-diode/
Akko Bittersweet Switch                                   , 90 Pack         ,      33.40, https://stackskb.com/store/akko-bittersweet-switch-pack-of-45/
EC11 Rotary Encoder                                       , 1               ,       0.43, https://www.flyrobo.in/ec11-rotary-encoder-half-shaft-handle-potentiometer-15mm
Orpheus Pico                                              , 1               ,           , Hack Club
Gateron Hotswap Sockets                                   , 90 Pack         ,      10.00, https://stackskb.com/store/gateron-hotswap-sockets/
Durock v2 Stabilizers Set                                 , 1               ,      17.98, https://stackskb.com/store/durock-clear-screw-in-stabilizers-v2/?attribute_combination=4%2B1+Set&attribute_spacebar-size=6.25U
Keycap Set                                                , 1               ,      22.21, https://curiositycaps.in/products/camp-picnic-xvx-p-profile-dye-sub-doubleshot-combination-keycap
M3x20 Hex CSK Screws                                      , 6x2             ,       0.20, https://omrook.com/ss-allen-csk-m3-x-20mm-dia-3mm-length-20mm-stainless-steel-ss202-allen-socket-countersunk-screws/
M3x6 Hex CSK Screws                                       , 4x2             ,       0.05, https://omrook.com/ss-allen-csk-m3-x-6mm-dia-3mm-length-6mm-stainless-steel-ss202-allen-socket-countersunk-screws/
M3 X 3mm Brass Threaded Inserts                           , 10x2            ,       0.83, https://omrook.com/m3-x-4-brass-threaded-inserts-nut-50pc/
"Bottom Case, Top Case, Plate, Knob, Elevator, Wrist Rest", 1               ,           , (3D Printed)
PCB                                                       , 1               ,      56.87, https://www.pcbpower.com/
                                                          , Components Total,     143.49, 
Shipping:                                                 , OmRook          ,       1.11, 
                                                          , Stackskb        ,       0   , 
                                                          , FlyRobo         ,       0.67, 
                                                          , Curiosity Caps  ,       0   , 
                                                          , PCB Power       ,       0   , 
                                                          , Shipping Total: ,       1.35, 
                                                          , Total:          ,     146.62, 
