Designator,Mid X,Mid Y,Rotation,Layer
A1,90.7975,-53.505,270.0,bottom
D1,74.03,-39.5175,0.0,bottom
D10,270.05,-51.8375,90.0,bottom
D11,288.95,-51.9375,90.0,bottom
D12,308.05,-51.8375,90.0,bottom
D13,327.15,-51.9375,90.0,bottom
D14,350.75,-51.9375,90.0,bottom
D15,361.95,-60.0075,180.0,bottom
D16,83.82,-75.7375,90.0,bottom
D17,102.87,-75.7375,90.0,bottom
D18,121.92,-75.7375,90.0,bottom
D19,140.97,-75.7375,90.0,bottom
D2,110.84,-66.9275,0.0,bottom
D20,160.02,-75.7375,90.0,bottom
D21,179.07,-75.7375,90.0,bottom
D22,198.12,-75.7375,90.0,bottom
D23,217.45,-75.8375,90.0,bottom
D24,236.45,-75.8275,90.0,bottom
D25,255.55,-75.8375,90.0,bottom
D26,274.65,-75.7375,90.0,bottom
D27,293.55,-75.9375,90.0,bottom
D28,312.95,-76.0275,90.0,bottom
D29,341.25,-75.6275,90.0,bottom
D3,127.05,-52.1375,90.0,bottom
D30,379.65,-75.8275,90.0,bottom
D31,88.9,-94.7875,90.0,bottom
D32,113.03,-94.7875,90.0,bottom
D33,132.08,-94.7875,90.0,bottom
D34,151.13,-94.7875,90.0,bottom
D35,170.18,-94.7875,90.0,bottom
D36,189.23,-94.7875,90.0,bottom
D37,208.28,-94.7875,90.0,bottom
D38,227.33,-94.7875,90.0,bottom
D39,246.38,-94.7875,90.0,bottom
D4,146.25,-51.925,90.0,bottom
D40,265.43,-94.7875,90.0,bottom
D41,284.48,-94.7875,90.0,bottom
D42,303.53,-94.7875,90.0,bottom
D43,322.58,-94.7875,90.0,bottom
D44,346.71,-94.7875,90.0,bottom
D45,379.73,-94.7875,90.0,bottom
D46,91.44,-113.8375,90.0,bottom
D47,118.11,-113.8375,90.0,bottom
D48,137.16,-113.8375,90.0,bottom
D49,156.21,-113.8375,90.0,bottom
D5,165.35,-52.0275,90.0,bottom
D50,175.26,-113.8375,90.0,bottom
D51,194.31,-113.8375,90.0,bottom
D52,213.36,-113.8375,90.0,bottom
D53,232.41,-113.8375,90.0,bottom
D54,251.46,-113.8375,90.0,bottom
D55,270.51,-113.8375,90.0,bottom
D56,289.56,-113.8375,90.0,bottom
D57,308.61,-113.8375,90.0,bottom
D58,339.09,-113.8375,90.0,bottom
D59,379.73,-113.8375,90.0,bottom
D6,188.85,-51.8375,90.0,bottom
D60,96.52,-132.3975,90.0,bottom
D61,127.0,-132.8875,90.0,bottom
D62,146.05,-132.8875,90.0,bottom
D63,165.1,-132.8875,90.0,bottom
D64,184.15,-132.8875,90.0,bottom
D65,203.2,-132.8875,90.0,bottom
D66,222.25,-132.8875,90.0,bottom
D67,241.3,-132.8875,90.0,bottom
D68,260.35,-132.8875,90.0,bottom
D69,279.4,-132.8875,90.0,bottom
D7,207.85,-51.8375,90.0,bottom
D70,298.45,-132.8875,90.0,bottom
D71,325.12,-132.8875,90.0,bottom
D72,355.6,-137.4775,90.0,bottom
D73,379.73,-132.905,90.0,bottom
D74,86.36,-151.9375,90.0,bottom
D75,110.49,-151.9375,90.0,bottom
D76,134.62,-151.9375,90.0,bottom
D77,205.74,-151.9375,90.0,bottom
D78,274.32,-151.9375,90.0,bottom
D79,293.37,-151.9375,90.0,bottom
D8,226.85,-51.8275,90.0,bottom
D80,312.42,-151.9375,90.0,bottom
D81,336.55,-156.5275,90.0,bottom
D82,355.6,-156.7,90.0,bottom
D83,374.65,-156.5275,90.0,bottom
D9,245.85,-51.9375,90.0,bottom
J1,69.04,-133.6275,90.0,bottom
SW1,75.6425,-52.705,0.0,top
SW10,261.38,-52.705,0.0,top
SW11,280.43,-52.705,0.0,top
SW12,299.48,-52.705,0.0,top
SW13,318.53,-52.705,0.0,top
SW14,342.3425,-52.705,0.0,top
SW15,370.6675,-52.705,0.0,top
SW16,75.6425,-76.5175,0.0,top
SW17,94.6925,-76.5175,0.0,top
SW18,113.7425,-76.5175,0.0,top
SW19,132.7925,-76.5175,0.0,top
SW2,99.455,-52.705,0.0,top
SW20,151.8425,-76.5175,0.0,top
SW21,170.8925,-76.5175,0.0,top
SW22,189.9425,-76.5175,0.0,top
SW23,208.9925,-76.5175,0.0,top
SW24,228.0425,-76.5175,0.0,top
SW25,247.0925,-76.5175,0.0,top
SW26,266.1425,-76.5175,0.0,top
SW27,285.1925,-76.5175,0.0,top
SW28,304.2425,-76.5175,0.0,top
SW29,332.8175,-76.5175,0.0,top
SW3,118.505,-52.705,0.0,top
SW30,370.9175,-76.5175,0.0,top
SW31,80.405,-95.5675,0.0,top
SW32,104.2175,-95.5675,0.0,top
SW33,123.2675,-95.5675,0.0,top
SW34,142.3175,-95.5675,0.0,top
SW35,161.3675,-95.5675,0.0,top
SW36,180.4175,-95.5675,0.0,top
SW37,199.4675,-95.5675,0.0,top
SW38,218.5175,-95.5675,0.0,top
SW39,237.5675,-95.5675,0.0,top
SW4,137.555,-52.705,0.0,top
SW40,256.6175,-95.5675,0.0,top
SW41,275.6675,-95.5675,0.0,top
SW42,294.7175,-95.5675,0.0,top
SW43,313.7675,-95.5675,0.0,top
SW44,337.58,-95.5675,0.0,top
SW45,370.9175,-95.5675,0.0,top
SW46,82.78625,-114.6175,0.0,top
SW47,108.98,-114.6175,0.0,top
SW48,128.03,-114.6175,0.0,top
SW49,147.08,-114.6175,0.0,top
SW5,156.605,-52.705,0.0,top
SW50,166.13,-114.6175,0.0,top
SW51,185.18,-114.6175,0.0,top
SW52,204.23,-114.6175,0.0,top
SW53,223.28,-114.6175,0.0,top
SW54,242.33,-114.6175,0.0,top
SW55,261.38,-114.6175,0.0,top
SW56,280.43,-114.6175,0.0,top
SW57,299.48,-114.6175,0.0,top
SW58,330.43625,-114.6175,0.0,top
SW59,370.9175,-114.6175,0.0,top
SW6,180.4175,-52.705,0.0,top
SW60,87.54875,-133.6675,0.0,top
SW61,118.505,-133.6675,0.0,top
SW62,137.555,-133.6675,0.0,top
SW63,156.605,-133.6675,0.0,top
SW64,175.655,-133.6675,0.0,top
SW65,194.705,-133.6675,0.0,top
SW66,213.755,-133.6675,0.0,top
SW67,232.805,-133.6675,0.0,top
SW68,251.855,-133.6675,0.0,top
SW69,270.905,-133.6675,0.0,top
SW7,199.4675,-52.705,0.0,top
SW70,289.955,-133.6675,0.0,top
SW71,316.14875,-133.6675,0.0,top
SW72,347.12,-138.435,0.0,top
SW73,370.9125,-133.685,0.0,top
SW74,78.02375,-152.7175,0.0,top
SW75,101.83625,-152.7175,0.0,top
SW76,125.64875,-152.7175,0.0,top
SW77,197.08625,-152.7175,0.0,top
SW78,266.1425,-152.7175,0.0,top
SW79,285.1925,-152.7175,0.0,top
SW8,218.5175,-52.705,0.0,top
SW80,304.2425,-152.7175,0.0,top
SW81,328.055,-157.48,0.0,top
SW82,347.105,-157.48,0.0,top
SW83,366.155,-157.48,0.0,top
SW9,237.5675,-52.705,0.0,top
